"","Q1.knock","Q8.fed.up","Q11.remember","Q13.yes","Q16.cry","Q18.church","Q23.known","Q28.halloween"
"Q1.knock",1,0.84677294974012,0.785387643375345,0.569352228185707,0.831574720869258,0.707096703267054,0.743190993580234,-0.19847399869432
"Q8.fed.up",0.84677294974012,1,0.846268607248802,0.576571758425148,0.893609554463188,0.817182610890461,0.770384759853263,-0.177015781160026
"Q11.remember",0.785387643375345,0.846268607248802,1,0.663339484640878,0.868300477177955,0.86548250908303,0.8558199975243,-0.0710824920264618
"Q13.yes",0.569352228185707,0.576571758425148,0.663339484640878,1,0.659038460953713,0.541348038962882,0.600531136412365,-0.293008694769565
"Q16.cry",0.831574720869258,0.893609554463188,0.868300477177955,0.659038460953713,1,0.851517680443829,0.860446004066321,-0.139998810096355
"Q18.church",0.707096703267054,0.817182610890461,0.86548250908303,0.541348038962882,0.851517680443829,1,0.896031265141748,0.00786743251816823
"Q23.known",0.743190993580234,0.770384759853263,0.8558199975243,0.600531136412365,0.860446004066321,0.896031265141748,1,-0.10840565131239
"Q28.halloween",-0.19847399869432,-0.177015781160026,-0.0710824920264618,-0.293008694769565,-0.139998810096355,0.00786743251816823,-0.10840565131239,1
