"Question","Parameter","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"Q1-knock","Range for field_pop",126.176585571147,22.7381478305056,88.9655938954802,123.656994621593,178.137522340938,117.87462913221
"Q1-knock","Stdev for field_pop",1.85848727726592,0.293747533901667,1.36853747566543,1.82891504186507,2.52148305884369,1.75868729588498
"Q1-knock","Precision for uni_eff",10.1605233495335,8.15047188058205,1.39489086559498,7.9372976647281,31.467766268688,3.98717766860814
"Q1-knock","Precision for gender_eff",139.775351919572,174.656346912504,15.0784394408076,87.7439853823409,588.461966640038,38.1092654511546
"Q1-knock","Range for field_ans",69.7303474634824,19.7324919152513,40.8188848785309,66.5216635686003,117.658087388294,59.8589878503522
"Q1-knock","Stdev for field_ans",0.927699969557788,0.14054031496075,0.692687497322315,0.913770499576746,1.24437896355421,0.879907181073173
"Q1-knock","Beta for field_pop_copy",0.128979266080902,0.0868209986150163,-0.0458639299928562,0.130303459722583,0.295944615725072,0.13601176424228
"Q8-fed-up","Range for field_pop",122.769034272243,21.2410746415852,88.2976853613208,120.339167598869,171.551443355491,114.429503127235
"Q8-fed-up","Stdev for field_pop",1.75231640924936,0.263588766723907,1.3164043658655,1.72479446144783,2.35035149477985,1.65490817664116
"Q8-fed-up","Precision for uni_eff",4.76347292007029,4.4919574123901,0.69886587859405,3.46547814572476,16.6613254227324,1.80405344485885
"Q8-fed-up","Precision for gender_eff",28843.7055308779,118324.004175382,128.439796758918,6150.74768385073,196859.955242756,120.1454200123
"Q8-fed-up","Range for field_ans",177.07808578725,84.111817563093,71.2878611498547,158.584207893139,393.264572178197,128.056639768966
"Q8-fed-up","Stdev for field_ans",0.808819627139552,0.206619029606606,0.487276834011552,0.780625039493122,1.29512726891332,0.723785652822555
"Q8-fed-up","Beta for field_pop_copy",-0.0953012246853393,0.0607798995662595,-0.216580978113079,-0.094749925161656,0.0227295786622603,-0.0924181820977286
"Q11-remember","Range for field_pop",120.84439934874,21.1782995119031,86.3737081960024,118.447724223345,169.399717700329,112.727541347762
"Q11-remember","Stdev for field_pop",1.79237253402731,0.272176668346718,1.33974279105143,1.76465317510614,2.40779236127085,1.69607038195161
"Q11-remember","Precision for uni_eff",4.74341250112948,3.78993749936124,0.727260958392458,3.71587002820435,14.6959288279621,2.00753896437668
"Q11-remember","Precision for gender_eff",29.0029271566496,24.032380130627,4.08738717189093,22.3562884569,92.2762477421649,11.4256921763334
"Q11-remember","Range for field_ans",135.967817864433,54.8764873813318,58.8096169089567,126.047692916844,271.02442353729,108.349945279879
"Q11-remember","Stdev for field_ans",1.12615399021303,0.282554960578437,0.67109715280362,1.09245161868204,1.77614893837987,1.02822012414005
"Q11-remember","Beta for field_pop_copy",-0.135781814288031,0.0797970936704125,-0.293868660523371,-0.135442097913302,0.0203206517204691,-0.134025547425507
"Q13-yes","Range for field_pop",126.705738355256,22.3944725920543,90.9074386460308,123.989625847316,178.591099117847,117.213899737428
"Q13-yes","Stdev for field_pop",1.79690690449132,0.277333008577786,1.34513861584496,1.76598050608542,2.43191295001584,1.6852377498077
"Q13-yes","Precision for uni_eff",6.55357877110837,5.59500334113428,0.976607208647367,4.9900268145267,21.3415719734715,2.6381019750389
"Q13-yes","Precision for gender_eff",6.61780722372313,5.21431449528318,1.08973390825592,5.21511369188598,20.3162752387276,2.94070725263157
"Q13-yes","Range for field_ans",58.0422780579844,22.3603374889691,27.9351463644585,53.6485575049588,114.297146576869,45.6748773118897
"Q13-yes","Stdev for field_ans",0.645871867195907,0.102852137243405,0.467549249312625,0.637680440124772,0.871447904879209,0.621348922472325
